title,original_lang,popularity,vote_count,vote_average
Lucy,en,24.987,11143,6.3
Doom: Annihilation,en,24.982,130,4.3
The Amazing Spider-Man,en,24.981,11534,6.5
The Usual Suspects,en,24.979,6441,8.2
X-Men: Production Scrapbook,en,24.975,20,6.3
Casino,en,24.958,3029,8
Death Wish,en,24.945,1487,5.9
Eduardo and Monica,pt,24.94,0,0
The Amazing Spider-Man 2,en,24.886,8147,6.4
One Hundred and One Dalmatians,en,24.874,4007,7.1
Scott Pilgrim vs. the World,en,24.87,4512,7.4
The Purge,en,24.867,5559,6.2
Prometheus,en,24.86,8156,6.4
Sex Tape,en,24.832,3013,5.3
Armageddon,en,24.825,4923,6.7
Ice Princess,en,24.806,580,6.1
Untitled Spider-Man 3,en,24.78,0,0
2012,en,24.773,8492,5.7
To All the Boys: P.S. I Still Love You,en,24.759,990,6.9
